judul berita,link berita,topik berita,waktu
Petugas Bersihkan Sisa-sisa Kebakaran Pasar Minggu,https://megapolitan.kompas.com/read/2021/04/25/16405691/petugas-bersihkan-sisa-sisa-kebakaran-pasar-minggu,NEWS,"25/04/2021, 16:40 WIB"
Sikap Awal Tubuh dalam Senam Irama,https://www.kompas.com/sports/read/2021/04/25/16400098/sikap-awal-tubuh-dalam-senam-irama,BOLA,"25/04/2021, 16:40 WIB"
"Bisnis Wedding Organizer Mulai Bangkit, Konsep Intimate di Lokasi Outdoor Banyak Diminati",https://money.kompas.com/read/2021/04/25/163909926/bisnis-wedding-organizer-mulai-bangkit-konsep-intimate-di-lokasi-outdoor,MONEY,"25/04/2021, 16:39 WIB"
UPDATE 25 April: Kasus Suspek Covid-19 Tercatat 67.312 orang,https://nasional.kompas.com/read/2021/04/25/16382751/update-25-april-kasus-suspek-covid-19-tercatat-67312-orang,NEWS,"25/04/2021, 16:38 WIB"
UPDATE 25 April: Ada 100.474 Kasus Aktif Covid-19 di Indonesia,https://nasional.kompas.com/read/2021/04/25/16363661/update-25-april-ada-100474-kasus-aktif-covid-19-di-indonesia,NEWS,"25/04/2021, 16:36 WIB"
"UPDATE 25 April: Tambah 94, Total Pasien Covid-19 Meninggal Kini 44.594 Orang",https://nasional.kompas.com/read/2021/04/25/16361821/update-25-april-tambah-94-total-pasien-covid-19-meninggal-kini-44594-orang,NEWS,"25/04/2021, 16:36 WIB"
Dosen TikTok Ini Ajak Peduli Bumi Lewat Pembuatan Konten Menarik,https://www.kompas.com/edu/read/2021/04/25/163458571/dosen-tiktok-ini-ajak-peduli-bumi-lewat-pembuatan-konten-menarik,EDUKASI,"25/04/2021, 16:34 WIB"
"UPDATE 25 April: Bertambah 3.804, Pasien Covid-19 Sembuh Jadi 1.496.126 Orang",https://nasional.kompas.com/read/2021/04/25/16334121/update-25-april-bertambah-3804-pasien-covid-19-sembuh-jadi-1496126-orang,NEWS,"25/04/2021, 16:33 WIB"
"UPDATE 25 April: Bertambah 4.402 Orang, Kasus Covid-19 di Indonesia Capai 1.641.194",https://nasional.kompas.com/read/2021/04/25/16311161/update-25-april-bertambah-4402-orang-kasus-covid-19-di-indonesia-capai,NEWS,"25/04/2021, 16:31 WIB"
Menilik Tren Memelihara Ayam di Silicon Valley...,https://www.kompas.com/tren/read/2021/04/25/163000465/menilik-tren-memelihara-ayam-di-silicon-valley-,TREN,"25/04/2021, 16:30 WIB"
Ilmuwan Ungkap Penyebab Air Zamzam Tak Pernah Kering Selama 40 Abad,https://www.kompas.com/sains/read/2021/04/25/163000723/ilmuwan-ungkap-penyebab-air-zamzam-tak-pernah-kering-selama-40-abad,SAINS,"25/04/2021, 16:30 WIB"
"Fiorentina Vs Juventus, Ronaldo dkk Datang dengan Misi Balas Dendam",https://bola.kompas.com/read/2021/04/25/16300058/fiorentina-vs-juventus-ronaldo-dkk-datang-dengan-misi-balas-dendam,BOLA,"25/04/2021, 16:30 WIB"
"Penampakan Masjid Jami Palopo, Simbol Awal Peradaban Islam, Toleransi dan Keberagaman di Sulawesi Selatan",https://regional.kompas.com/read/2021/04/25/163000778/penampakan-masjid-jami-palopo-simbol-awal-peradaban-islam-toleransi-dan,REGIONAL,"25/04/2021, 16:30 WIB"
"Diduga Lakukan Operasi Plastik dan Face Filler, Zac Efron Dikecam Warganet",https://www.kompas.com/hype/read/2021/04/25/162904966/diduga-lakukan-operasi-plastik-dan-face-filler-zac-efron-dikecam-warganet,HYPE,"25/04/2021, 16:29 WIB"
PM Armenia Resmi Mundur demi Redakan Krisis Usai Kalah Perang,https://www.kompas.com/global/read/2021/04/25/162600970/pm-armenia-resmi-mundur-demi-redakan-krisis-usai-kalah-perang,GLOBAL,"25/04/2021, 16:26 WIB"
LTMPT Umumkan Info Penting Terkait UTBK Gelombang II ,https://www.kompas.com/edu/read/2021/04/25/162551971/ltmpt-umumkan-info-penting-terkait-utbk-gelombang-ii,EDUKASI,"25/04/2021, 16:25 WIB"
BTS Jadi Brand Ambassador Terbaru Louis Vuitton ,https://lifestyle.kompas.com/read/2021/04/25/162519820/bts-jadi-brand-ambassador-terbaru-louis-vuitton,LIFESTYLE,"25/04/2021, 16:25 WIB"
"Tembak Mati Tersangka Pelecehan Seksual, Sejumlah Polisi Diperiksa Propam Polda Sulbar",https://regional.kompas.com/read/2021/04/25/162406078/tembak-mati-tersangka-pelecehan-seksual-sejumlah-polisi-diperiksa-propam,REGIONAL,"25/04/2021, 16:24 WIB"
4 Cara Bersihkan Perabotan Dapur Tanpa Menciptakan Limbah ,https://www.kompas.com/homey/read/2021/04/25/162400276/4-cara-bersihkan-perabotan-dapur-tanpa-menciptakan-limbah-,HOMEY,"25/04/2021, 16:24 WIB"
[VIDEO] Skuter Listrik Mungil Benelli Dong,https://otomotif.kompas.com/read/2021/04/25/162100015/-video-skuter-listrik-mungil-benelli-dong,OTOMOTIF,"25/04/2021, 16:21 WIB"
"Hari Ini Dalam Sejarah: Kecelakaan Pesawat di Kepulauan Canary, 146 Penumpang Tewas",https://www.kompas.com/tren/read/2021/04/25/162000765/hari-ini-dalam-sejarah--kecelakaan-pesawat-di-kepulauan-canary-146,TREN,"25/04/2021, 16:20 WIB"
Kenapa Ban MotoGP Diselimuti Sebelum Balapan?,https://www.kompas.com/sports/read/2021/04/25/16200078/kenapa-ban-motogp-diselimuti-sebelum-balapan-,BOLA,"25/04/2021, 16:20 WIB"
"Komandan Militer Tertinggi Myanmar Keluarkan Memo Internal ""Bunuh Mereka"" Pengunjuk Rasa",https://www.kompas.com/global/read/2021/04/25/161826070/komandan-militer-tertinggi-myanmar-keluarkan-memo-internal-bunuh-mereka,GLOBAL,"25/04/2021, 16:18 WIB"
"Wisuda Pekerja Migran Hong Kong, UT Beri Apresiasi ""Kartini Pejuang Devisa"" ",https://edukasi.kompas.com/read/2021/04/25/161636171/wisuda-pekerja-migran-hong-kong-ut-beri-apresiasi-kartini-pejuang-devisa,EDUKASI,"25/04/2021, 16:16 WIB"
Ini SPBU Hub Pertashop Pertama di Jawa Tengah,https://money.kompas.com/read/2021/04/25/161618326/ini-spbu-hub-pertashop-pertama-di-jawa-tengah,MONEY,"25/04/2021, 16:16 WIB"
"[KURASI KOMPASIANA] Plus dan  Minus Jadi ""Anak Bawang"" di Kantor",https://money.kompas.com/read/2021/04/25/161600526/kurasi-kompasiana-plus-dan-minus-jadi-anak-bawang-di-kantor,MONEY,"25/04/2021, 16:16 WIB"
"Nekat Buat dan Jual Petasan ke Anak-anak, Pemuda Kulon Progo Ditangkap, Bahan bakunya Disita",https://regional.kompas.com/read/2021/04/25/161500678/nekat-buat-dan-jual-petasan-ke-anak-anak-pemuda-kulon-progo-ditangkap-bahan,REGIONAL,"25/04/2021, 16:15 WIB"
Komik Olahraga Komedi Clean Freak! Aoyama Kun Dijamin Bikin Tertawa,https://edukasi.kompas.com/read/2021/04/25/161433671/komik-olahraga-komedi-clean-freak-aoyama-kun-dijamin-bikin-tertawa,EDUKASI,"25/04/2021, 16:14 WIB"
Resep Gangan Ikan Kakap Nanas Khas Belitung buat Menu Buka Puasa,https://www.kompas.com/food/read/2021/04/25/161114875/resep-gangan-ikan-kakap-nanas-khas-belitung-buat-menu-buka-puasa,FOOD,"25/04/2021, 16:11 WIB"
